 4,75, 4,25, 2,00, 1,50, 3,00, 1,25, 1,00, 0,50, 1,75, 3,50, 1,25, 1,25, 2,00, 1,50, 0,50
Gribouillis;MARIUS;19,00, 20,00, 18,66, 15,00, 17,61, 18,18, 15,80, 13,10, 19,40, 16,75, 14,50, 19,50, 14,11, 15,58, 19,00
Farfouille;JULES;18,30, 19,90, 16,28, 16,00, 16,30, 18,81, 13,20, 15,69, 18,90, 17,88, 16,50, 18,00, 17,71, 16,33, 17,00
Chaussette;ALEXANDRE;18,00, 20,00, 15,53, 19,00, 16,04, 18,38, 14,00, 15,69, 17,16, 17,06, 16,00, 20,00, 16,93, 13,67, 15,50
Croustibat;ARTHUR;18,30, 19,40, 19,09, 16,00, 16,62, 18,29, 14,80, 13,88, 18,77, 16,88, 13,50, 18,50, 15,41, 17,50, 0,00
Ziboulette;MATHIEU;19,00, 18,40, 17,66, 18,00, 11,70, 16,00, 16,20, 14,31, 18,14, 16,62, 13,50, 19,00, 17,02, 15,00, 14,50
Papouilles;CLEMENT;13,70, 13,40, 19,09, 16,00, 17,64, 18,94, 15,80, 15,88, 17,95, 13,88, 17,00, 20,00, 14,18, 18,17, 16,50
Pamplemousse;ADRIEN;15,00, 18,80, 18,16, 12,00, 15,91, 17,69, 13,40, 15,82, 16,49, 15,06, 13,00, 18,00, 13,16, 13,67, 17,00
Pimpon;MATHIEU;13,70, 11,00, 16,12, 12,00, 15,21, 16,84, 12,40, 16,14, 16,66, 13,88, 17,00, 17,00, 15,79, 15,25, 14,50
Cacahu�te;MASSYL;14,00, 8,40, 14,47, 12,00, 15,02, 19,00, 12,40, 11,01, 14,12, 14,25, 15,50, 10,00, 13,10, 13,67, 13,00
Tournicoche;HENRI;14,70, 9,40, 15,12, 12,00, 11,32, 13,75, 11,00, 13,40, 14,95, 10,81, 14,50, 10,50, 16,25, 12,67, 14,50
Boudinou;AZIZ;12,70, 13,30, 16,41, 11,00, 14,80, 16,56, 14,80, 9,48, 10,78, 5,62, 12,50, 16,50, 8,18, 10,33, 15,00
Frimousse;LUCAS;8,30, 11,80, 15,97, 14,00, 13,00, 13,88, 9,40, 15,95, 13,02, 9,62, 15,00, 6,00, 17,29, 13,08, 16,50
Gloubiboulga;ANTOINE;11,80, 11,20, 13,88, 14,00, 11,00, 12,88, 8,00, 15,88, 14,55, 10,06, 12,50, 7,50, 15,82, 11,00, 11,50
Grignote;SARAH;9,20, 9,20, 18,09, 14,00, 13,57, 11,82, 12,60, 13,30, 13,00, 9,38, 13,50, 9,00, 14,62, 14,25, 15,50
P�tunia;LOU;7,70, 8,60, 15,91, 14,00, 16,32, 13,12, 8,60, 15,03, 12,84, 9,69, 11,50, 11,00, 13,49, 13,33, 14,50
Ziziroulette;AURELIEN;9,00, 11,90, 15,78, 13,00, 9,75, 12,82, 4,00, 14,27, 14,82, 6,62, 14,50, 7,50, 15,19, 15,58, 13,00
Foufounette;GABRIEL;6,70, 7,00, 16,75, 12,00, 13,80, 14,69, 12,00, 17,02, 14,34, 9,44, 12,50, 13,00, 13,42, 12,33, 16,00
Grincheux;LORENZO;6,00, 13,20, 14,38, 13,00, 12,14, 14,88, 5,00, 16,67, 10,52, 9,94, 13,50, 10,00, 8,96, 11,17, 10,00
Tourniquet;CYRILLE;9,30, 7,40, 16,12, 12,00, 10,04, 11,19, 11,30, 15,49, 10,40, 9,81, 14,50, 4,00, 11,51, 12,25, 16,50
Barbapapa;ANTONIO;6,00, 9,60, 15,25, 12,00, 10,86, 11,44, 6,80, 9,67, 10,73, 9,50, 12,50, 6,00, 12,89, 11,50, 18,00
Bidibidou;NASSIM;5,50, 8,80, 12,88, 14,00, 10,25, 10,81, 8,00, 19,80, 10,98, 8,31, 12,50, 1,00, 10,47, 12,58, 12,50
Chocolatine;JULIEN;10,00, 2,80, 13,47, 13,00, 6,12, 13,12, 5,20, 17,16, 6,80, 3,31, 12,50, 11,00, 11,06, 12,25, 13,00
Tralala;OTHMANE;0,00, 0,00, 5,54, 0,00, 7,09, 0,00, 0,00, 0,00, 7,50, 3,62, 13,00, 0,00, 7,83, 6,50, 0,00
